;Unnamed: 0;Class;Code;Price;SalesUnit;Weight;WeightUnit;Length;Height;Width;Thickness;Diameter;Name;ShortDescription;Description;SmallImageURL;ImageURL;Material;Co2Em;CVCF;Waste Factor;Reuse;Recycled;Energy Recovery;Final Disposal;Hazardous Waste;Recycled Share
0;1;Metal sheets;1016891;145;squaremetre;16.08;sheet;1000;;2000.00.00;1;;Messinkilevy 1x1000x2000mm;"Messinkilevy

Seos: CW508L

½ kova";"Messinkilevy

Seos: CW508L (CuZn37)

½ kova

Paino per levy: 16.8kg

Standardi MS63 messinki



Lyijyttömiä messinkejä voidaan myös nimetä Ms**-lyhenteellä, jolloin ** korvataan kuparin prosenttiosuudella: esimerkiksi Ms63 sisältää 63% kuparia.";https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/62C5/DB4C/3C6C/CAFD/0A28/104A/E7CB/messinkilevy_s.jpg;https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/62C5/DB4C/3C6C/CAFD/0A28/104A/E7CB/messinkilevy_m.jpg;Brass;0.00;0.00;0.00;0;0;0;0;0;0
1;2;Metal sheets;1016934;269.04.00;squaremetre;33.06.00;sheet;1000;;2000.00.00;2;;Messinkilevy 2x1000x2000mm;"Messinkilevy

Seos: CW508L

½ kova";"Messinkilevy

Seos: CW508L (CuZn37)

½ kova

Paino per levy: 33.6kg

Standardi MS63 messinki



Lyijyttömiä messinkejä voidaan myös nimetä Ms**-lyhenteellä, jolloin ** korvataan kuparin prosenttiosuudella: esimerkiksi Ms63 sisältää 63% kuparia.";https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/64E2/131D/7F40/44E0/0A28/104A/93B0/messinkilevy_s.jpg;https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/64E2/131D/7F40/44E0/0A28/104A/93B0/messinkilevy_m.jpg;Brass;0.00;0.00;0.00;0;0;0;0;0;0
2;3;Metal sheets;1027897;371.04.00;squaremetre;20.04;sheet;600;;2000.00.00;2;;Messinkilevy 2x600x2000mm;"Messinkilevy

Seos: CW612N, ei suojakalvoa

kova(Kaiverrettavissa)";"Messinkilevy

Seos: CW612N(sis. lyijyä)

kova(Kaiverrettavissa)

Paino per levy: 20.4kg";https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/6675/D031/1041/42B6/0A28/104A/596C/messinkilevy_s.jpg;https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/6675/D031/1041/42B6/0A28/104A/596C/messinkilevy_m.jpg;Brass;0.00;0.00;0.00;0;0;0;0;0;0
3;4;Metal sheets;1016959;404.01.00;squaremetre;50.04.00;sheet;1000;;2000.00.00;3;;Messinkilevy 3x1000x2000mm;"Messinkilevy

Seos: CW508L

½ kova";"Messinkilevy

Seos: CW508L (CuZn37)

½ kova

Paino per levy: 50.4kg

Standardi MS63 messinki



Lyijyttömiä messinkejä voidaan myös nimetä Ms**-lyhenteellä, jolloin ** korvataan kuparin prosenttiosuudella: esimerkiksi Ms63 sisältää 63% kuparia.";https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/65B0/6F8C/ABC7/BF29/0A28/104A/C121/messinkilevy_s.jpg;https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/65B0/6F8C/ABC7/BF29/0A28/104A/C121/messinkilevy_m.jpg;Brass;0.00;0.00;0.00;0;0;0;0;0;0
4;5;Metal sheets;1027763HR;695;squaremetre;68;sheet;1000;;2000.00.00;4;;Messinkilevy 4x1000x2000mm;"Messinkilevy

Seos: CW612N, ei suojakalvoa

kova (Kaiverrettavissa)";"Messinkilevy

Seos: CW612N (sis. lyijyä)

kova(Kaiverrettavissa)

Paino per levy: 68kg";https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/6B68/A0BA/0EF7/2EFA/0A28/104A/F01C/messinkilevy_s.jpg;https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/6B68/A0BA/0EF7/2EFA/0A28/104A/F01C/messinkilevy_m.jpg;Brass;0.00;0.00;0.00;0;0;0;0;0;0
5;6;Metal sheets;1027763;761.03.00;squaremetre;41;sheet;600;;2000.00.00;4;;Messinkilevy 4x600x2000mm;"Messinkilevy

Seos: CW612N, ei suojakalvoa

kova(Kaiverrettavissa)";"Messinkilevy

Seos: CW612N(sis. lyijyä)

kova(Kaiverrettavissa)

Paino per levy: 41kg";https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/6675/D031/1041/42B6/0A28/104A/596C/messinkilevy_s.jpg;https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/6675/D031/1041/42B6/0A28/104A/596C/messinkilevy_m.jpg;Brass;0.00;0.00;0.00;0;0;0;0;0;0
6;7;Metal sheets;1027764HR;870;squaremetre;85;sheet;1000;;2000.00.00;5;;Messinkilevy 5x1000x2000mm;"Messinkilevy

Seos: CW612N, ei suojakalvoa

kova (Kaiverrettavissa)";"Messinkilevy

Seos: CW612N (sis. lyijyä)

kova(Kaiverrettavissa)

Paino per levy: 85kg";https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/6B68/A0BA/0EF7/2EFA/0A28/104A/F01C/messinkilevy_s.jpg;https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/6B68/A0BA/0EF7/2EFA/0A28/104A/F01C/messinkilevy_m.jpg;Brass;0.00;0.00;0.00;0;0;0;0;0;0
7;8;Metal sheets;1027765HR;1382;squaremetre;135;sheet;1000;;2000.00.00;8;;Messinkilevy 8x1000x2000mm;"Messinkilevy

Seos: CW612N, ei suojakalvoa

kova (Kaiverrettavissa)";"Messinkilevy

Seos: CW612N (sis. lyijyä)

kova(Kaiverrettavissa)

Paino per levy: 135kg";https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/6B68/A0BA/0EF7/2EFA/0A28/104A/F01C/messinkilevy_s.jpg;https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/6B68/A0BA/0EF7/2EFA/0A28/104A/F01C/messinkilevy_m.jpg;Brass;0.00;0.00;0.00;0;0;0;0;0;0
8;9;Metal sheets;1050719J;1251.01.00;squaremetre;53;sheet;1250;;2500.00.00;2;;Messinkilevy happivapaa 2x1250x2500mm;"Messinkilevy

Seos: CW508L

½ kova + kalvo yhdellä puolella";"Messinkilevy

Seos: CW508L (CuZn37)

½ kova +kalvo yhdellä puolella

Paino per levy: 53kg

Standardi MS63 messinki

Lyijyttömiä messinkejä voidaan myös nimetä Ms**-lyhenteellä, jolloin ** korvataan kuparin prosenttiosuudella: esimerkiksi Ms63 sisältää 63% kuparia.

";https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5EB1/4E0C/D9D7/4FB0/6C87/0A28/105F/AC21/messinkilevy_s.jpg;https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5EB1/4E0C/D9D7/4FB0/6C87/0A28/105F/AC21/messinkilevy_m.jpg;Brass;0.00;0.00;0.00;0;0;0;0;0;0
9;10;Metal sheets;1202503;109.06.00;squaremetre;0,511111111;sheet;1000;;2000.00.00;0.07;;Messinkilevy kalvolla 0.7x1000x2000mm;"Messinkilevy

Seos: CW508L

½ kova + kalvo yhdellä puolella";"Messinkilevy

Seos: CW508L (CuZn37)

½ kova + kalvo yhdellä puolella

Paino per levy: 11.76kg

Standardi MS63 messinki



Lyijyttömiä messinkejä voidaan myös nimetä Ms**-lyhenteellä, jolloin ** korvataan kuparin prosenttiosuudella: esimerkiksi Ms63 sisältää 63% kuparia.";https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/59D6/0420/F3D3/E187/0A28/104A/7447/messinkilevy_s.jpg;https://www.cronvall.fi/WebRoot/Cronvall/Shops/CronvallShop/5E1C/59D6/0420/F3D3/E187/0A28/104A/7447/messinkilevy_m.jpg;Brass;0.00;0.00;0.00;0;0;0;0;0;0
